accuracy,previous_score,avg_time,difficulty_level,topic_accuracy,next_score,competency
42.72,42.23,64.8,2,27.0,49.28,Beginner
60.97,64.97,30.5,2,33.57,71.8,Beginner
43.38,39.11,83.5,3,40.82,50.19,Beginner
65.41,75.18,86.0,3,71.03,59.28,Intermediate
59.0,51.98,72.6,2,60.82,52.07,Beginner
55.22,68.92,39.8,2,70.01,63.22,Intermediate
41.85,27.87,48.9,1,47.1,41.08,Beginner
48.46,51.94,57.9,3,41.7,57.21,Beginner
75.11,78.91,40.9,2,47.2,77.78,Intermediate
70.02,63.65,88.8,1,67.17,69.42,Intermediate
40.45,43.84,57.9,3,52.78,46.63,Beginner
61.99,72.22,10.0,3,57.28,61.84,Intermediate
75.03,57.29,61.8,3,75.37,78.93,Intermediate
26.61,30.63,48.0,3,31.67,30.98,Beginner
70.87,50.92,53.5,3,58.68,72.96,Intermediate
46.75,39.02,47.6,1,54.23,47.07,Beginner
71.41,84.45,71.1,3,91.06,74.34,Intermediate
44.73,40.08,77.4,3,42.66,56.69,Beginner
23.9,14.51,60.7,1,10.35,27.21,Beginner
27.45,25.87,48.2,1,26.65,37.4,Beginner
60.96,77.5,54.2,3,34.27,75.31,Beginner
65.19,50.54,55.4,1,69.24,71.11,Intermediate
41.91,33.5,39.0,3,47.34,51.77,Beginner
72.77,84.75,66.6,1,92.88,74.91,Intermediate
26.77,41.63,64.2,1,24.44,35.82,Beginner
58.68,57.85,85.8,2,63.58,62.52,Beginner
35.78,25.87,80.1,1,25.44,44.82,Beginner
46.96,63.73,41.3,2,42.69,54.89,Beginner
60.95,73.7,71.4,2,42.65,61.91,Beginner
42.79,48.22,36.0,1,40.45,50.74,Beginner
52.31,45.81,68.9,1,48.65,54.67,Beginner
80.13,79.73,44.7,2,83.72,81.08,Intermediate
48.46,47.18,34.5,1,40.98,47.73,Beginner
76.71,79.36,60.6,3,77.71,81.57,Intermediate
37.41,49.01,10.0,2,33.41,48.39,Beginner
70.6,77.63,20.0,1,66.62,76.28,Intermediate
88.83,80.21,51.5,2,89.8,91.85,Intermediate
10.57,21.58,56.6,1,11.05,19.32,Beginner
44.06,46.57,47.6,1,53.2,54.17,Beginner
71.54,77.04,23.4,1,70.09,70.92,Intermediate
55.94,67.67,38.6,3,51.74,54.77,Intermediate
67.42,58.53,62.8,3,65.25,79.84,Intermediate
47.92,47.63,66.6,3,39.34,50.91,Beginner
61.73,57.48,54.7,1,57.41,58.65,Beginner
56.89,44.34,78.1,1,81.26,47.56,Beginner
83.36,86.13,62.9,2,72.4,88.11,Intermediate
65.09,85.18,40.1,2,61.74,58.15,Intermediate
66.75,52.03,49.4,3,62.1,66.91,Intermediate
51.76,51.5,26.9,1,48.8,57.15,Beginner
50.25,55.37,52.8,1,46.27,56.56,Beginner
51.35,52.33,77.2,2,54.7,51.33,Beginner
67.89,66.98,68.7,3,47.37,71.65,Intermediate
51.58,41.19,83.0,3,64.03,52.22,Beginner
65.8,67.66,48.9,2,73.39,65.24,Intermediate
99.0,92.95,81.9,3,84.09,100.0,Advanced
77.42,59.9,51.1,2,50.19,76.22,Intermediate
53.48,63.04,84.4,3,41.75,57.74,Beginner
84.02,91.69,54.6,3,81.11,78.51,Intermediate
51.84,52.25,69.1,3,82.8,64.49,Intermediate
19.24,21.07,84.5,1,25.76,26.76,Beginner
39.84,48.43,51.1,1,18.15,47.41,Beginner
22.58,24.38,59.4,2,14.31,36.52,Beginner
52.97,60.2,80.8,2,52.33,51.78,Beginner
60.37,57.99,52.3,3,63.41,63.39,Intermediate
93.53,100.0,28.6,1,77.75,80.68,Intermediate
66.54,69.1,97.9,1,64.92,86.06,Beginner
55.62,57.17,45.6,3,47.01,60.27,Beginner
76.59,66.43,58.2,1,63.34,82.69,Intermediate
15.78,18.07,78.1,1,18.89,13.09,Beginner
64.71,58.06,42.8,2,74.0,73.51,Intermediate
75.42,70.31,34.8,2,85.51,88.53,Intermediate
30.43,23.91,60.1,1,37.32,33.63,Beginner
82.88,74.35,19.1,3,76.91,80.18,Intermediate
66.77,83.77,49.2,2,75.34,68.6,Intermediate
51.69,62.34,59.9,3,55.4,44.2,Beginner
72.66,88.02,49.6,2,74.26,74.62,Intermediate
99.0,89.22,24.1,1,91.66,100.0,Advanced
63.64,64.21,86.9,1,57.67,64.33,Beginner
64.96,54.62,57.1,1,65.85,64.06,Intermediate
50.81,45.25,83.6,2,80.09,57.91,Beginner
43.0,35.66,49.8,1,46.62,49.19,Beginner
76.61,86.52,37.4,2,69.27,68.52,Intermediate
42.88,39.71,60.4,2,32.89,47.98,Beginner
61.43,69.98,50.7,1,55.53,77.13,Beginner
50.45,55.28,31.4,1,76.57,44.4,Beginner
69.58,88.01,84.4,3,64.79,73.5,Intermediate
66.67,54.84,42.6,3,77.56,82.99,Intermediate
80.75,90.82,18.2,1,76.24,86.92,Intermediate
49.8,58.97,81.6,1,52.93,48.74,Beginner
54.6,46.82,44.9,3,64.1,61.47,Intermediate
40.42,48.48,42.8,1,33.56,43.18,Beginner
51.11,53.8,19.7,3,43.42,52.54,Beginner
67.55,65.73,89.8,1,87.45,67.7,Intermediate
75.14,68.55,29.2,3,86.95,77.45,Intermediate
41.56,35.8,56.2,1,51.04,44.91,Beginner
77.39,93.79,73.3,3,86.84,76.71,Intermediate
87.11,87.12,63.4,1,92.63,78.48,Intermediate
68.27,74.53,53.8,2,92.48,70.56,Intermediate
97.54,91.21,21.0,1,98.06,100.0,Advanced
44.52,38.29,38.8,1,51.45,47.46,Beginner
35.11,43.76,58.8,3,17.7,40.31,Beginner
24.43,13.63,39.3,2,14.53,35.0,Beginner
89.92,86.6,59.1,3,75.51,91.78,Intermediate
73.09,73.36,68.6,2,88.38,86.45,Intermediate
58.89,59.78,74.3,3,28.26,64.15,Beginner
65.6,64.17,30.5,2,60.77,72.55,Intermediate
37.49,40.66,98.9,3,1.57,39.96,Beginner
99.0,100.0,70.3,3,89.02,100.0,Advanced
62.58,68.46,55.0,1,56.69,65.23,Beginner
62.19,54.3,76.8,3,78.81,66.87,Intermediate
74.52,72.24,102.3,3,79.27,72.54,Intermediate
69.62,79.18,26.2,1,59.62,66.22,Intermediate
64.48,71.63,50.5,2,77.27,69.01,Intermediate
44.19,33.21,10.0,1,44.4,50.43,Beginner
69.43,72.24,58.9,3,69.88,73.11,Intermediate
97.64,81.81,62.3,1,83.21,97.55,Intermediate
86.91,87.28,54.2,1,75.03,85.73,Intermediate
91.86,100.0,41.9,2,81.96,93.11,Intermediate
49.78,42.19,14.0,2,50.33,52.59,Beginner
40.21,33.53,62.5,3,41.14,47.1,Beginner
57.48,63.6,84.1,3,76.01,79.07,Intermediate
61.11,48.77,43.2,2,65.74,66.1,Intermediate
81.88,76.82,63.8,1,49.39,85.2,Intermediate
26.15,30.92,23.6,2,29.3,34.69,Beginner
90.59,85.52,64.1,2,73.19,89.77,Intermediate
56.84,54.95,47.1,2,45.25,68.06,Beginner
51.46,57.42,39.8,1,41.72,51.6,Beginner
39.76,43.13,39.8,2,31.8,50.91,Beginner
26.9,29.04,47.1,1,10.4,28.75,Beginner
76.46,73.75,62.6,3,78.91,74.59,Intermediate
61.47,64.43,28.8,2,44.54,66.74,Beginner
34.2,33.21,47.1,3,38.48,34.84,Beginner
34.1,37.76,54.2,2,60.94,42.58,Beginner
53.28,49.31,33.0,1,37.33,47.86,Beginner
93.38,91.92,90.9,3,89.97,94.0,Intermediate
54.81,46.89,37.9,2,24.53,49.83,Beginner
29.94,29.66,41.6,1,26.33,50.49,Beginner
55.09,48.6,35.4,2,62.8,48.75,Intermediate
54.55,45.63,91.0,2,63.19,58.24,Beginner
6.06,8.13,66.1,3,6.99,22.44,Beginner
58.91,60.62,36.3,2,69.59,68.42,Intermediate
55.38,61.64,77.1,2,85.93,64.06,Intermediate
73.92,70.48,59.0,1,94.47,72.11,Intermediate
96.98,100.0,60.1,2,90.71,100.0,Advanced
82.53,86.94,48.1,3,65.12,91.41,Intermediate
54.62,58.18,40.0,3,49.75,61.53,Beginner
37.87,31.26,61.8,1,26.51,42.28,Beginner
99.0,100.0,44.1,1,100.0,95.26,Advanced
61.18,64.1,91.3,1,47.01,56.83,Beginner
60.28,60.34,29.6,2,59.4,70.88,Intermediate
59.52,42.83,85.7,3,69.57,72.63,Intermediate
63.96,65.25,52.8,2,62.75,61.54,Intermediate
57.11,74.81,61.0,2,45.76,59.62,Beginner
48.53,45.65,71.7,3,62.62,53.78,Beginner
49.06,43.24,42.4,2,26.52,52.94,Beginner
59.34,62.33,72.3,1,55.41,60.98,Beginner
49.13,51.63,10.0,2,48.63,58.88,Beginner
45.74,55.28,40.6,3,45.93,47.6,Beginner
62.13,52.07,36.5,3,64.29,62.08,Intermediate
54.9,60.75,29.9,2,62.23,65.93,Intermediate
90.08,94.8,50.7,2,89.65,88.1,Intermediate
6.98,5.84,62.7,3,2.56,8.84,Beginner
81.83,84.54,69.1,2,76.94,80.37,Intermediate
84.92,93.16,59.8,1,77.58,82.15,Intermediate
18.53,25.51,41.7,3,27.98,36.38,Beginner
53.15,44.0,62.4,3,45.39,64.44,Beginner
52.57,59.13,57.5,1,62.73,61.25,Beginner
31.85,31.33,73.7,2,32.08,42.22,Beginner
44.44,45.03,70.5,2,38.19,54.57,Beginner
37.79,38.37,55.6,1,45.21,36.64,Beginner
95.05,93.84,37.1,3,86.32,96.25,Advanced
78.71,88.25,41.9,2,86.37,74.48,Intermediate
85.43,84.76,44.0,3,87.98,87.33,Intermediate
74.43,65.48,48.7,1,67.28,78.58,Intermediate
37.42,34.27,60.4,2,43.76,43.23,Beginner
49.51,50.94,69.3,1,56.07,59.42,Beginner
69.79,79.62,54.0,3,83.68,67.36,Intermediate
35.56,40.38,55.3,2,47.15,43.71,Beginner
74.26,67.46,57.9,2,80.16,68.83,Intermediate
55.19,75.08,44.7,1,41.66,57.34,Beginner
52.5,54.62,36.5,1,81.89,58.75,Intermediate
74.22,84.42,19.9,1,57.38,72.99,Intermediate
68.89,67.67,41.1,1,80.28,72.68,Intermediate
52.78,57.05,64.5,2,57.96,50.8,Beginner
83.19,89.9,40.9,2,69.1,74.55,Intermediate
38.38,48.12,50.2,2,36.89,46.65,Beginner
72.32,80.78,64.3,2,71.37,85.0,Intermediate
71.86,78.84,65.4,1,87.53,66.14,Intermediate
53.81,51.29,33.4,1,45.25,62.84,Beginner
66.52,61.95,74.9,1,63.38,67.46,Beginner
34.98,37.64,77.5,3,6.94,34.17,Beginner
78.48,85.95,32.4,2,99.3,73.41,Intermediate
56.3,54.52,38.5,1,43.46,57.89,Beginner
49.55,58.07,78.8,1,53.47,49.16,Beginner
80.98,92.6,52.1,3,79.76,76.62,Intermediate
45.91,38.58,10.6,2,44.74,40.08,Beginner
31.83,25.14,27.0,2,41.55,32.2,Beginner
28.87,27.74,50.0,2,48.92,35.72,Beginner
72.12,74.58,31.7,1,75.14,72.31,Intermediate
34.39,30.19,46.7,3,42.25,38.63,Beginner
95.1,100.0,55.6,3,99.04,98.7,Advanced
18.36,21.75,84.2,1,30.57,29.13,Beginner
93.93,94.24,49.2,3,88.37,98.78,Advanced
64.22,52.73,76.5,3,77.13,68.35,Intermediate
58.07,47.54,83.6,1,71.39,64.99,Beginner
49.1,51.35,83.7,2,62.09,47.41,Beginner
67.98,50.92,60.7,1,60.06,67.19,Intermediate
59.25,67.35,15.7,1,57.23,59.3,Intermediate
82.07,80.8,64.2,2,84.94,76.08,Intermediate
62.28,88.23,76.0,1,45.83,60.78,Beginner
63.01,81.47,53.4,3,82.15,55.52,Intermediate
52.73,51.28,89.9,3,52.58,69.98,Beginner
58.86,58.01,72.2,1,62.27,54.53,Beginner
66.16,74.12,66.4,2,59.23,78.38,Intermediate
25.8,39.42,76.7,3,9.87,33.96,Beginner
33.04,19.93,61.7,3,25.79,43.78,Beginner
74.87,60.57,10.0,3,77.5,75.94,Intermediate
63.42,58.44,45.0,1,71.5,65.59,Intermediate
56.32,60.98,78.9,2,58.26,63.72,Beginner
60.37,64.34,38.8,2,64.53,67.53,Intermediate
66.95,75.51,50.5,3,62.91,76.24,Intermediate
49.2,39.61,34.1,1,55.16,49.06,Beginner
44.43,25.9,90.7,3,62.23,48.0,Beginner
63.92,70.78,88.6,1,72.37,55.24,Beginner
40.43,33.81,37.3,3,50.15,50.34,Beginner
68.17,52.02,57.9,2,71.69,77.21,Intermediate
25.95,27.11,41.4,2,7.91,41.57,Beginner
80.58,86.93,67.3,2,68.05,83.97,Intermediate
69.45,68.48,65.2,1,74.91,65.3,Intermediate
65.12,61.46,71.2,1,64.99,55.73,Beginner
79.65,78.38,61.6,1,84.93,85.53,Intermediate
93.31,90.34,113.7,1,100.0,78.07,Intermediate
80.29,69.5,34.4,1,89.0,77.82,Intermediate
23.18,17.47,20.8,3,38.29,29.98,Beginner
34.41,38.58,47.1,2,35.54,39.24,Beginner
47.5,50.08,23.6,1,37.82,49.92,Beginner
60.52,61.87,25.2,3,59.83,66.51,Intermediate
70.35,62.39,35.0,2,60.7,58.23,Intermediate
45.49,44.03,36.6,3,64.18,51.93,Beginner
63.74,46.32,35.9,2,73.22,53.26,Intermediate
44.89,46.32,65.4,1,51.14,51.69,Beginner
47.77,59.2,44.9,2,62.6,48.62,Beginner
31.87,20.07,51.4,2,7.63,24.38,Beginner
41.54,36.85,72.9,1,48.59,39.33,Beginner
32.97,35.6,39.7,1,17.24,32.91,Beginner
40.48,50.51,49.7,1,40.4,50.39,Beginner
81.07,77.49,62.3,1,77.33,81.77,Intermediate
41.01,35.47,16.2,2,48.95,47.8,Beginner
99.0,83.25,10.0,2,100.0,100.0,Advanced
69.87,70.69,61.9,1,86.01,69.7,Intermediate
63.7,80.03,64.8,2,56.47,71.13,Intermediate
42.83,45.05,96.3,2,51.34,51.51,Beginner
74.01,73.83,58.2,1,75.95,66.37,Intermediate
48.49,51.06,71.4,1,28.86,59.45,Beginner
62.44,62.35,51.1,1,51.42,54.92,Beginner
99.0,92.5,60.9,2,97.2,100.0,Advanced
58.08,64.67,88.3,1,71.43,50.33,Beginner
82.99,84.79,12.5,2,88.55,87.95,Intermediate
45.94,46.08,63.3,2,31.93,61.43,Beginner
59.3,51.5,97.7,2,57.62,61.28,Beginner
95.42,100.0,60.6,1,100.0,92.24,Intermediate
47.46,52.78,88.0,1,48.8,53.33,Beginner
96.25,91.83,42.4,2,92.32,94.57,Advanced
74.16,82.17,54.4,3,80.06,89.13,Intermediate
48.75,44.77,55.7,3,57.91,56.0,Beginner
72.65,66.39,10.6,2,67.17,72.92,Intermediate
79.45,73.37,31.6,2,85.48,77.85,Intermediate
72.44,58.27,33.1,2,68.49,69.04,Intermediate
28.6,32.37,71.4,3,37.23,32.54,Beginner
45.46,30.81,72.4,1,47.49,45.72,Beginner
55.05,45.22,61.5,3,60.83,57.72,Intermediate
58.51,41.91,71.5,2,49.4,57.88,Beginner
72.41,71.72,51.7,2,62.56,87.21,Intermediate
63.55,62.35,79.0,1,74.9,58.29,Intermediate
33.29,30.68,55.2,2,32.34,39.51,Beginner
67.6,59.26,56.2,2,71.02,73.75,Intermediate
72.21,62.83,49.7,1,68.53,76.22,Intermediate
71.2,74.91,68.7,1,81.98,71.15,Intermediate
81.62,77.21,46.6,3,74.32,83.64,Intermediate
76.68,79.21,74.5,2,75.05,81.25,Intermediate
69.18,62.1,32.4,2,78.62,73.25,Intermediate
58.6,60.05,33.0,1,72.67,58.36,Intermediate
26.78,37.21,68.7,2,20.5,23.27,Beginner
68.59,73.28,53.2,2,92.11,68.3,Intermediate
64.15,60.85,45.9,2,67.91,60.14,Intermediate
65.43,67.49,72.8,2,52.92,64.19,Beginner
34.47,32.54,42.9,2,38.89,39.91,Beginner
38.38,38.44,51.0,2,33.78,45.46,Beginner
81.06,78.46,83.0,1,86.27,91.26,Intermediate
59.21,57.89,85.8,3,58.69,61.25,Beginner
73.63,75.33,86.4,2,74.52,80.39,Intermediate
60.57,52.62,49.4,1,49.63,63.56,Beginner
60.6,52.47,79.6,2,72.48,71.52,Intermediate
78.77,67.66,36.0,3,64.89,85.92,Intermediate
49.68,36.88,36.9,1,36.37,45.65,Beginner
61.92,52.18,10.0,1,66.33,52.63,Intermediate
50.75,52.03,88.5,2,69.99,56.56,Beginner
51.31,44.17,37.7,1,47.08,50.03,Beginner
53.82,57.93,52.5,3,62.23,53.63,Intermediate
64.44,64.72,36.8,1,77.32,57.68,Intermediate
50.43,34.68,68.9,3,60.2,57.36,Beginner
85.12,90.35,47.5,1,81.38,93.35,Intermediate
42.11,48.59,28.9,1,29.02,42.29,Beginner
56.26,48.31,63.8,3,29.77,65.3,Beginner
51.21,54.57,26.3,2,48.05,54.5,Beginner
88.94,82.09,38.3,2,100.0,82.09,Advanced
63.93,64.71,12.9,1,50.44,69.23,Intermediate
80.64,70.52,26.5,2,89.04,75.62,Intermediate
30.29,15.94,58.6,2,18.89,36.0,Beginner
65.34,62.28,15.7,3,66.61,68.06,Intermediate
77.79,76.8,25.4,3,86.29,86.93,Intermediate
61.65,58.46,55.0,2,53.73,58.37,Beginner
81.31,71.84,44.1,2,83.36,85.15,Intermediate
49.65,46.46,94.8,2,44.67,48.64,Beginner
88.19,90.34,91.7,2,96.65,86.07,Intermediate
99.0,98.64,37.6,1,100.0,75.27,Advanced
52.74,54.2,66.1,1,53.42,67.08,Beginner
51.09,45.73,70.0,1,69.79,56.31,Beginner
89.07,98.44,43.1,1,97.02,83.34,Intermediate
91.59,82.18,25.1,1,83.31,83.52,Intermediate
49.54,53.44,54.8,2,48.51,50.61,Beginner
51.6,61.05,51.5,3,50.69,61.77,Beginner
54.36,58.21,46.3,2,55.33,46.66,Beginner
33.11,31.49,63.8,1,63.41,35.61,Beginner
41.63,37.4,40.0,1,46.08,54.92,Beginner
39.92,48.21,32.0,2,15.49,37.92,Beginner
44.64,33.26,57.2,1,38.13,47.55,Beginner
59.31,51.55,62.7,2,36.12,75.78,Beginner
64.68,61.5,31.5,3,60.73,73.3,Intermediate
91.01,100.0,73.6,1,67.16,90.48,Intermediate
40.03,43.07,19.6,1,29.57,45.87,Beginner
79.69,71.94,43.4,2,61.44,78.91,Intermediate
55.72,53.24,49.8,3,60.33,69.06,Intermediate
59.01,54.1,42.3,3,59.02,61.89,Intermediate
73.5,67.82,43.7,3,77.13,65.86,Intermediate
37.55,45.38,92.4,1,36.29,38.19,Beginner
67.65,56.67,38.0,3,50.92,66.44,Intermediate
63.33,76.2,103.8,1,69.49,59.58,Beginner
69.85,76.47,63.7,1,92.92,68.71,Intermediate
65.78,74.51,56.8,3,70.69,77.71,Intermediate
99.0,95.3,64.5,3,93.89,100.0,Advanced
47.25,46.05,105.6,1,30.11,48.05,Beginner
49.38,37.91,35.1,1,38.48,51.41,Beginner
47.54,43.34,32.6,1,52.97,43.38,Beginner
48.89,52.84,39.9,1,61.77,37.89,Beginner
47.25,57.62,55.6,1,50.38,50.15,Beginner
83.78,74.92,20.5,3,93.38,91.85,Advanced
88.41,85.49,55.4,2,96.9,88.69,Intermediate
48.59,47.37,88.9,3,54.66,51.49,Beginner
43.35,32.19,58.0,3,35.45,52.67,Beginner
69.43,74.16,49.1,2,71.52,71.37,Intermediate
48.96,43.16,42.6,3,38.78,65.15,Beginner
72.66,71.1,73.0,2,72.87,82.24,Intermediate
64.06,60.44,38.5,1,68.03,70.69,Intermediate
29.69,23.37,91.9,2,49.83,39.86,Beginner
90.95,90.89,93.7,2,75.23,83.93,Intermediate
95.92,94.19,60.1,3,100.0,100.0,Advanced
47.74,44.77,54.8,3,65.52,56.18,Beginner
52.25,46.42,75.6,2,61.35,59.7,Beginner
65.72,68.27,76.9,3,75.71,73.42,Intermediate
66.69,79.92,38.9,1,73.74,70.07,Intermediate
73.17,74.29,44.5,3,88.75,93.52,Intermediate
99.0,100.0,28.6,2,85.95,98.62,Advanced
56.46,45.34,63.2,1,39.83,63.56,Beginner
44.03,45.3,68.3,2,43.96,45.69,Beginner
32.41,23.63,28.0,2,6.48,42.56,Beginner
45.38,33.57,45.9,1,60.15,53.39,Beginner
59.34,53.42,28.1,3,73.99,66.78,Intermediate
95.89,100.0,37.0,1,90.69,100.0,Intermediate
49.65,57.25,66.0,3,45.2,50.37,Beginner
64.48,66.42,40.3,2,63.61,64.39,Intermediate
59.67,47.41,49.0,1,60.3,62.17,Beginner
83.77,82.2,22.5,2,85.29,90.35,Intermediate
99.0,100.0,58.7,2,100.0,100.0,Advanced
49.38,50.79,54.1,2,47.31,61.15,Beginner
50.21,35.46,40.4,2,61.53,50.22,Beginner
80.88,73.76,51.2,2,86.23,75.57,Intermediate
73.64,73.13,58.6,2,66.35,77.6,Intermediate
96.93,100.0,38.7,3,100.0,98.72,Advanced
71.68,54.11,25.5,1,55.38,75.2,Intermediate
52.81,51.52,91.1,2,51.71,56.42,Beginner
71.81,72.96,42.3,1,83.42,70.03,Intermediate
82.17,88.97,53.1,3,73.5,85.15,Intermediate
76.41,81.95,75.2,3,80.12,80.47,Intermediate
70.15,74.81,125.6,1,76.67,65.7,Beginner
81.33,74.93,30.1,1,71.01,79.61,Intermediate
83.39,68.12,64.0,1,82.52,80.29,Intermediate
87.64,84.5,40.8,2,85.77,93.77,Intermediate
72.97,80.99,44.2,2,66.35,76.3,Intermediate
56.66,67.81,40.6,3,84.28,75.67,Intermediate
62.93,68.62,32.5,2,53.78,66.86,Intermediate
84.13,87.56,54.2,1,96.19,80.09,Intermediate
43.66,46.7,25.5,3,38.95,66.19,Beginner
67.37,62.92,73.9,2,54.33,72.47,Intermediate
52.13,51.09,56.1,2,53.37,61.9,Beginner
60.57,73.93,63.4,1,68.36,65.28,Beginner
85.57,78.03,45.7,2,96.62,90.46,Intermediate
63.82,76.74,47.7,3,82.57,71.93,Intermediate
60.93,58.35,60.8,2,96.27,57.44,Intermediate
32.8,43.41,31.7,1,35.81,38.38,Beginner
74.93,63.67,47.8,2,66.97,68.98,Intermediate
72.91,77.6,37.8,3,78.34,76.03,Intermediate
99.0,93.11,37.2,1,95.81,92.73,Advanced
53.84,42.52,12.8,2,64.96,59.68,Intermediate
64.38,66.13,81.8,3,48.82,71.24,Intermediate
64.99,73.06,41.3,1,93.41,68.68,Intermediate
91.55,84.79,78.3,2,100.0,93.95,Intermediate
58.09,46.1,76.4,2,37.89,57.81,Beginner
65.58,64.85,29.3,2,57.07,66.77,Intermediate
72.16,71.46,33.2,2,81.95,79.91,Intermediate
63.73,68.12,106.2,1,77.85,68.04,Beginner
51.07,58.67,90.0,2,35.8,48.1,Beginner
63.88,63.41,54.4,1,72.44,55.59,Intermediate
81.47,96.32,60.1,2,58.1,78.59,Intermediate
39.47,41.26,42.4,1,38.4,48.58,Beginner
62.66,59.89,63.6,1,76.0,70.94,Intermediate
46.0,33.11,40.7,3,39.38,46.77,Beginner
83.9,81.8,14.4,2,65.82,87.03,Intermediate
29.54,26.85,28.6,3,31.29,48.18,Beginner
48.82,56.5,55.4,1,41.56,53.41,Beginner
67.54,71.24,32.4,2,75.1,78.67,Intermediate
91.31,81.88,53.7,1,80.69,96.0,Intermediate
58.68,60.06,33.5,3,49.41,58.53,Intermediate
48.9,54.27,39.4,3,24.64,53.84,Beginner
97.62,100.0,72.1,1,99.66,96.02,Intermediate
31.04,38.14,59.9,3,29.11,39.18,Beginner
16.02,22.11,54.8,1,1.76,26.24,Beginner
68.8,69.28,72.6,2,71.13,73.75,Intermediate
49.96,53.07,64.6,3,62.28,38.34,Beginner
39.58,49.57,83.9,3,36.99,38.53,Beginner
74.17,63.5,45.8,3,77.39,65.11,Intermediate
64.88,62.08,46.4,1,68.16,66.74,Intermediate
48.72,42.54,29.0,1,34.27,52.26,Beginner
34.39,37.43,46.4,1,59.07,39.34,Beginner
77.45,87.29,74.3,2,71.8,73.5,Intermediate
73.0,68.23,81.0,3,80.88,81.21,Intermediate
58.02,38.89,74.2,1,67.25,63.67,Beginner
96.93,93.63,19.1,2,95.26,89.65,Advanced
38.6,45.91,76.7,1,45.88,32.71,Beginner
29.49,33.79,18.2,1,32.44,33.13,Beginner
46.16,49.59,73.0,2,29.15,61.22,Beginner
59.09,56.85,47.6,2,55.1,72.56,Beginner
64.87,54.63,69.1,3,57.52,73.06,Intermediate
55.18,59.3,28.4,1,49.63,52.38,Beginner
67.04,60.37,78.4,3,51.39,77.0,Intermediate
34.97,52.44,25.7,1,48.49,35.46,Beginner
88.88,93.44,41.6,1,100.0,83.16,Intermediate
58.36,53.71,35.0,2,70.09,48.82,Intermediate
82.35,77.45,19.9,3,97.59,86.37,Advanced
66.85,66.11,56.9,1,62.72,63.73,Intermediate
69.14,67.22,91.1,1,61.5,70.18,Beginner
71.4,80.33,108.3,2,62.05,56.89,Intermediate
68.95,70.45,56.9,1,76.68,70.46,Intermediate
72.85,67.0,77.3,3,75.58,62.44,Intermediate
86.58,100.0,59.6,3,85.66,96.18,Intermediate
63.93,64.32,65.0,1,79.47,67.95,Intermediate
74.18,80.33,48.2,2,79.04,74.57,Intermediate
58.21,53.34,58.9,3,48.14,66.93,Beginner
88.8,91.71,65.7,1,80.63,81.83,Intermediate
46.47,48.96,43.4,2,54.66,51.19,Beginner
96.02,80.9,53.5,1,100.0,99.11,Advanced
59.2,75.32,53.8,2,65.82,43.9,Intermediate
31.38,41.71,71.5,1,54.15,32.19,Beginner
62.56,59.38,33.7,3,82.18,67.42,Intermediate
46.38,37.56,54.0,2,51.67,49.49,Beginner
76.81,79.59,93.2,1,66.75,85.41,Intermediate
46.95,47.64,78.3,3,31.23,46.45,Beginner
51.08,53.92,82.0,1,46.43,49.26,Beginner
22.21,23.74,55.5,2,31.25,16.94,Beginner
50.95,55.0,61.4,2,72.87,63.94,Beginner
11.52,23.1,75.0,1,16.53,15.12,Beginner
28.32,32.87,86.2,3,42.35,33.43,Beginner
75.21,66.81,16.0,3,72.26,78.88,Intermediate
75.72,86.62,28.7,1,83.19,79.48,Intermediate
68.51,81.63,81.2,2,78.39,73.11,Intermediate
40.66,65.88,49.5,2,16.91,61.29,Beginner
59.05,50.06,41.6,3,54.08,67.05,Intermediate
59.93,61.87,29.9,1,71.32,58.34,Intermediate
36.83,20.18,43.9,2,40.13,38.52,Beginner
90.07,94.49,27.0,2,75.71,88.51,Intermediate
77.55,73.16,96.8,2,48.39,70.33,Intermediate
55.58,70.97,54.6,2,51.19,59.37,Beginner
60.54,54.34,53.8,1,59.68,66.4,Beginner
64.17,50.65,66.8,3,53.56,65.35,Intermediate
19.17,15.4,74.2,2,20.88,20.79,Beginner
55.06,39.25,73.9,3,61.13,69.75,Beginner
46.36,52.37,76.5,1,54.41,40.09,Beginner
39.97,23.45,42.4,2,11.7,32.36,Beginner
54.38,54.61,49.0,3,38.61,53.11,Beginner
95.95,79.33,70.4,2,92.3,87.03,Advanced
72.82,70.25,44.5,3,79.68,79.31,Intermediate
48.58,61.72,54.9,3,54.45,52.53,Beginner
71.45,74.34,63.0,2,77.11,72.42,Intermediate
87.99,81.08,70.7,2,83.39,95.87,Intermediate
78.49,78.24,19.4,1,74.56,74.07,Intermediate
61.19,61.34,69.3,2,52.45,68.95,Beginner
47.06,50.84,50.3,1,56.28,58.36,Beginner
73.96,63.03,69.1,2,62.92,73.31,Intermediate
67.87,72.61,70.5,2,78.07,74.86,Intermediate
77.9,56.27,87.2,2,80.4,78.22,Intermediate
72.7,67.66,82.1,1,72.16,78.43,Intermediate
80.99,77.08,81.9,3,73.11,75.08,Intermediate
49.3,54.36,83.9,1,33.03,41.48,Beginner
86.35,86.53,60.8,1,78.58,83.09,Intermediate
63.95,52.71,55.6,1,59.99,59.5,Beginner
99.0,91.12,72.5,3,70.57,97.98,Intermediate
46.22,47.81,69.6,3,43.85,51.2,Beginner
94.72,94.09,48.8,2,100.0,99.46,Advanced
